name	2016-05-12T00:00:00.000Z	2016-05-13T00:00:00.000Z	2016-05-14T00:00:00.000Z	2016-05-15T00:00:00.000Z	2016-05-16T00:00:00.000Z	2016-05-17T00:00:00.000Z	2016-05-18T00:00:00.000Z	2016-05-19T00:00:00.000Z	2016-05-20T00:00:00.000Z	2016-05-21T00:00:00.000Z	2016-05-22T00:00:00.000Z	2016-05-23T00:00:00.000Z	2016-05-24T00:00:00.000Z	2016-05-25T00:00:00.000Z	2016-05-26T00:00:00.000Z	2016-05-27T00:00:00.000Z	2016-05-28T00:00:00.000Z
CVE-2016-2296	0	0	5	6	0	0	17	3	0	0	0	0	0	0	0	0	0
CVE-2016-2297	0	0	4	5	0	0	0	3	0	0	0	0	0	0	0	0	0
CVE-2016-2298	0	0	4	5	0	0	0	3	0	0	0	0	0	0	0	0	0
CVE-2016-2554	0	0	0	0	2	6	2	0	3	1	0	0	0	3	0	0	0
CVE-2016-2784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0
CVE-2016-2849	0	2	2	0	2	4	2	0	0	0	0	0	0	0	0	0	0
CVE-2016-2850	0	2	2	0	2	4	2	0	0	0	0	0	0	0	0	0	0
CVE-2016-2855	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0
CVE-2016-2860	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3185	0	0	0	0	3	14	1	0	3	1	0	0	1	0	0	0	0
CVE-2016-3627	0	0	0	0	0	1	2	0	5	1	2	0	0	0	0	0	0
CVE-2016-3664	0	0	0	0	0	0	0	0	0	0	0	1	2	1	4	0	0
CVE-2016-3674	0	0	0	0	0	1	3	0	6	1	2	0	0	0	0	0	0
CVE-2016-3680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0
CVE-2016-3681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0
CVE-2016-3693	0	0	0	0	0	0	0	0	2	6	0	1	0	0	0	0	0
CVE-2016-3705	0	0	0	0	0	1	3	0	3	1	2	0	0	0	0	0	0
CVE-2016-3719	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3721	0	0	0	0	0	2	3	3	3	1	2	0	0	0	0	0	0
CVE-2016-3722	0	0	0	0	0	2	3	3	1	1	5	0	0	0	0	0	0
CVE-2016-3723	0	0	0	0	0	2	4	3	1	1	2	0	0	0	0	0	0
CVE-2016-3724	0	0	0	0	0	2	8	3	1	1	2	0	0	0	0	0	0
CVE-2016-3725	0	0	0	0	0	2	7	3	1	1	2	0	0	0	0	0	0
