name	2016-05-12T00:00:00.000Z	2016-05-13T00:00:00.000Z	2016-05-14T00:00:00.000Z	2016-05-15T00:00:00.000Z	2016-05-16T00:00:00.000Z	2016-05-17T00:00:00.000Z	2016-05-18T00:00:00.000Z	2016-05-19T00:00:00.000Z	2016-05-20T00:00:00.000Z	2016-05-21T00:00:00.000Z	2016-05-22T00:00:00.000Z	2016-05-23T00:00:00.000Z	2016-05-24T00:00:00.000Z	2016-05-25T00:00:00.000Z	2016-05-26T00:00:00.000Z	2016-05-27T00:00:00.000Z	2016-05-28T00:00:00.000Z
CVE-2016-3723	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3724	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3725	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3726	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3727	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3728	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-3739	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-3958	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-3959	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-3993	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-3994	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-4001	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4020	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CVE-2016-4021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-4024	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-4037	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4049	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4070	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-4071	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-4072	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-4073	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-4087	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4325	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-4342	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4343	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4344	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4345	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4346	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4348	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-4425	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-4439	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-4441	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CVE-2016-4480	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CVE-2016-4482	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4485	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4486	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4536	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-4537	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4538	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4539	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4540	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4541	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4542	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4543	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4544	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4557	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4558	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4565	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4566	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4567	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CVE-2016-4568	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4569	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4575	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CVE-2016-4576	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4577	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4578	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4580	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4581	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4782	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4783	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-4787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-4788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-4789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-4790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-4791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-4792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-4794	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4805	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4913	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CVE-2016-4951	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
